She Loves You - Mono / Remastered;The Beatles;2000;66;0.377;0.916;0.074;75.533;4
Hash Pipe;Weezer;2001;65;0.578;0.882;0.284;125.603;4
Hallelujah;Jeff Buckley;1994;5;0.339;0.143;0.372;101.213;3
Bad To The Bone;George Thorogood & The Destroyers;1982;68;0.459;0.727;0.384;149.231;1
Freak On a Leash;Korn;1998;74;0.353;0.898;0.39;103.293;4
Somebody Told Me;The Killers;2004;67;0.509;0.987;0.119;138.039;4
Reelin' In The Years;Steely Dan;1972;71;0.523;0.758;0.0952;135.437;4
Band On The Run - Remastered 2010;Wings;1973;71;0.479;0.601;0.11;124.966;4
Enjoy the Silence - Single Mix;Depeche Mode;1990;66;0.641;0.812;0.078;112.777;4
Mr. Jones;Counting Crows;1993;76;0.578;0.817;0.285;141.621;4
Norwegian Wood (This Bird Has Flown) - Remastered 2009;The Beatles;1965;68;0.425;0.369;0.112;176.625;3
Self Esteem;The Offspring;2005;74;0.458;0.912;0.363;104.526;4
All the Young Dudes;Mott The Hoople;1972;63;0.429;0.668;0.538;77.737;4
The Logical Song - Remastered 2010;Supertramp;1979;73;0.625;0.758;0.153;119.719;4
Ticket To Ride - Remastered 2009;The Beatles;1965;65;0.519;0.85;0.233;123.419;4
Disarm - Remastered;The Smashing Pumpkins;1993;65;0.527;0.418;0.139;129.517;4
What's My Age Again?;blink-182;1999;2;0.403;0.956;0.0893;157.706;4
Fly Away;Lenny Kravitz;1998;70;0.587;0.872;0.622;159.925;4
Starlight;Muse;2006;73;0.55;0.874;0.206;121.61;4
Fool in the Rain - 1990 Remaster;Led Zeppelin;1979;63;0.539;0.866;0.0953;130.345;4
I Heard It Through The Grapevine;Marvin Gaye;1968;73;0.711;0.362;0.127;117.287;4
Mary Jane's Last Dance;Tom Petty and the Heartbreakers;2008;72;0.464;0.655;0.328;169.515;4
Daughter (Remastered);Pearl Jam;1993;68;0.615;0.702;0.0608;96.99;4
